feature,importance
NDVI_apr,62.24688835486634
EVI_jul,62.18547111972408
NDVI_may,56.90642092281144
NDVI_jun,56.316695003962145
shape_peak_skewness,55.29494850280788
GCVI_jul,54.82110153423391
LSWI_jul,54.30233742634352
NDVI_nov,52.49501330899883
EVI_aug,52.386387736542005
shape_mid_dip,51.757304558013026
LSWI_aug,51.58998033452999
GCVI_jun,49.132010222068104
GCVI_aug,48.53189689580881
NDVI_aug,45.51905071853005
shape_season_length,28.358864402619528
GCVI_sep,17.85216215020381
shape_integrated_ndvi,15.819020642147951
LSWI_sep,15.16177076004349
NDVI_sep,13.46814578012399
NDVI_jan,6.11673737917913
shape_winter_ratio,3.4909981594527277
